3,De quelle couleur est la petite souris qui se balade dans l’herbe,Rouge,Bleue,Verte,Grise
1,Quelle est la conjugaison du verbe « avoir » au présent à la première personne du pluriel,Nous avons,Nous avions,Nous avon,Nous avion
2,Combien de couleur possède l’arc-en-ciel ,5,7,8,10
3,Comment s’appelle le fidèle compagnon de Sacha dans Pokémon ,Bulbizarre ,Dracaufeu,Pikachu,Dialga
4,Qui est le joueur avec le numéro 10 dans l’équipe de France,Giroud,Griezmann,Benzema,Mbappé
3,Sur quel continent se situe les Etats-Unis ,Europe,Afrique,Amérique,Asie
2,Quelle est l’infinitif du verbe dans la phrase suivante : « Je suis allé vendre des gâteaux »,Être,Aller,Vendre,Être aller
4,Quelle est la traduction de Apple,Poire,Pêche,Poney,Pomme
2,Quel est la capital du Luxembourg,Echternach,Luxembourg,Tokyo,Moscou
3,Dans quel pays se situe la ville de Bruxelles,France,Angleterre,Belgique,Allemagne
4,Quelles sont les dates de la première guerre mondiale,1939-1945,1935-1946,1915-1920,1914-1918
1,Dans quel département se situe Lille,Nord,Gironde,Pas-de-calais,Morbihan
2,Qui a peint le portrait de la Joconde,Picasso,Léonard de Vinci,Van Gogh,Monet
4,Où se situe le Musée du Louvre,Lille,Lyon,Marseille,Paris
1,Quel est l’ancien nom de la France,Gaule,Gole,Geaul,Francia
2,Que fête-t-on le 14 juillet,L’anniversaire de McGregor,La prise de la Bastille,Le top 1 sur fortnite de Tommy,La mort de Tony Stark
4,Combien il y a de lettre dans l’alphabet,32,16,18,26
1,Combien de doigts possèdent une personne normalement constitué,10,9,12,5
3,Combien de dents de lait possède un enfant au total,32,16,20,19
1,Combien de dents possède un adulte,32,16,20,19
2,Combien de pays sont dans l’Union Européenne,29,27,37,19
3,Comment dire « Cheval » en anglais ,phorse,corse,horse,borse
1,Quelle est la vraie identité de Superman,Clark Kent,Bruce Wayne,Tony Stark,Jon Snow
4,Conjuguer « Faire » à la 1ère personne du singulier au présent,Je fai,Je fait,Je fès,Je fais
2,Combien font 9*9,64,81,90,99
1,Combien font 25+30,55,50,65,45
3,Combien font 3+6+10+5,16,32,24,28
4,Combien font 6*7,43,46,48,42
1,Qui a construit la tour Eiffel ,Gustave Eiffel,Paul Eiffel,Paul Mirabel,Gustavo Eiffelo
2,Que signifie « Wenesday »,Lundi,Mercredi,Vendredi,Dimanche
1,Combien font 8*4,32,34,33,36
3,Combien font 7*5,40,30,35,45
2,De combien de joueurs est composé une équipe de Football ,12,11,16,9
8,Il y a combien de planète dans le système solaire,9,10,7,8
2,Combien y a-t-il de minute dans une heure ,120,60,90,50
2,Quel est l’océan le plus grand du monde,Atlantique,Pacifique,Indien,Arctique
1,On obtient quelle couleur en mélangeant le rouge et le bleu,Violet,Jaune,Orange,Vert
1,Avec quoi tape-t-on sur un ordinateur,Clavier,Souris,Ecran tactile,Stylet
4,Combien font 3*9,25,29,24,27
2,"Est ce que 5*6 a le même résultat que 6*5, si oui le quel ","Oui, 25","Oui, 30","Non, 30 et 25","Non, 35 et 26"
